id,title,yr,score,votes,director
2666391,The Wedding March,1928,7.6,858,"von Stroheim, Erich"
2247148,La coquille et le clergyman,1928,7.0,809,"Dulac, Germaine"
2653377,The Smart Set,1928,8.4,790,"Conway, Jack"
1839499,A Woman of Affairs,1928,8.0,787,"Brown, Clarence"
2728680,Vormittagsspuk,1928,7.2,733,"Richter, Hans"
2699899,Two Tars,1928,7.4,733,"Parrott, James"
2633651,The Mysterious Lady,1928,7.4,722,"Niblo, Fred"
2602613,The Fall of the House of Usher,1928,7.0,720,"Webber, Melville"
2244189,L'étoile de mer,1928,7.2,718,"Ray, Man"
1843956,Across to Singapore,1928,7.5,710,"Nigh, William"
2588727,The Cardboard Lover,1928,8.4,632,"Leonard, Robert Z."
2623398,"The Life and Death of 9413, a Hollywood Extra",1928,7.1,613,"Vorkapich, Slavko"
2426887,Plane Crazy,1928,7.3,612,"Iwerks, Ub"
2254560,La petite marchande d'allumettes,1928,7.1,578,"Renoir, Jean"
2604277,The Finishing Touch,1928,7.3,571,"Bruckman, Clyde"
2762216,You're Darn Tootin',1928,6.7,553,"Kennedy, Edgar"
2286231,Lilac Time,1928,8.4,515,"Lloyd, Frank"
2644146,The Racket,1928,7.1,508,"Milestone, Lewis"
2285767,Lights of New York,1928,7.7,489,"Foy, Bryan"
2735984,We Faw Down,1928,7.0,476,"McCarey, Leo"
2103223,From Soup to Nuts,1928,6.9,464,"Kennedy, Edgar"
2704150,Un chapeau de paille d'Italie,1928,7.1,458,"Clair, René"
2184790,In Old Arizona,1928,5.9,455,"Cummings, Irving"
2273857,Leave 'Em Laughing,1928,6.8,449,"Bruckman, Clyde"
1902724,Beggars of Life,1928,7.8,436,"Wellman, William A."
2240566,L'argent,1928,7.9,421,"L'Herbier, Marcel"
2744747,White Shadows in the South Seas,1928,7.2,406,"Flaherty, Robert J."
2593030,The Cossacks,1928,8.5,399,"Brown, Clarence"
2770386,Zvenigora,1928,7.1,378,"Dovzhenko, Aleksandr"
2098192,Four Sons,1928,7.0,375,"Ford, John"
2670428,Their Purple Moment,1928,6.7,365,"Guiol, Fred"
2133935,Habeas Corpus,1928,6.8,363,"Parrott, James"
1827411,A Girl in Every Port,1928,6.9,349,"Hawks, Howard"
2045707,Early to Bed,1928,6.5,340,"Flynn, Emmett J."
2512705,Should Married Men Go Home?,1928,6.9,340,"Parrott, James"
2375690,Noah's Ark,1928,6.8,338,"Curtiz, Michael"
2630183,The Matinee Idol,1928,7.2,335,"Capra, Frank"
2606847,The Gallopin' Gaucho,1928,6.6,292,"Iwerks, Ub"
2093470,Flying Elephants,1928,6.1,281,"Roach, Hal"
2607195,The Garden of Eden,1928,7.1,266,"Milestone, Lewis"
2581354,The Battle of the Sexes,1928,6.7,264,"Griffith, D.W."
