id,name
125297,"Bedi, Kabir"
124948,"Beckwith, Reginald"
125859,"Beecroft, David"
129424,"Bell, Geoff"
130077,"Bell, Spencer"
129540,"Bell, Jamie"
128876,"Belières, Léon"
129946,"Bell, Ralph"
129776,"Bell, Marshall"
129527,"Bell, James"
128926,"Belkhadra, Karim"
128333,"Belcher, Lionel"
128332,"Belcher, Laurence"
128028,"Belafonte, Harry"
127486,"Beinbrink, Will"
127847,"Bekins, Richard"
128322,"Belcher, Joe"
128304,"Belcher, Charles"
128032,"Belafsky, Marty"
130588,"Belle, David"
132912,"Ben-Salim, Kador"
130403,"Bellamy, Ned"
130544,"Bellaver, Harry"
131594,"Belmore, Lionel"
132488,"Ben Ali, Abd-el-Kader"
130146,"Bell, Tobin"
132210,"Belushi, John"
131879,"Belson, Jerry"
131522,"Belmont, Guy"
130408,"Bellamy, Ralph"
132209,"Belushi, James"
132207,"Belur, Gautam"
131776,"Belov, Yuri"
130421,"Bellamy, Thomas"
130692,"Beller, Georges"
132527,"Ben Badra, Affif"
131508,"Belmondo, Jean-Paul"
131292,"Bellos, Richard"
131525,"Belmont, Joseph"
132081,"Beltran, Robert"
131667,"Belokurov, Vladimir"
133753,"Bender, Paul"
134419,"Benes, Zachary"
135181,"Benjamin, André"
133960,"Bendow, Wilhelm"
134889,"Benigni, Roberto"
135351,"Benjamin, Paul"
134166,"Benedict, Claude"
134104,"Benedetti, Pierre"
135683,"Bennefeld, Albert"
133405,"Bencherif, Adel"
133905,"Bendix, William"
134219,"Benedict, Paul"
135366,"Benjamin, Richard"
134655,"Bengsch, Hubertus"
135691,"Bennent, David"
134149,"Benedico, Augusto"
134161,"Benedict, Brooks"
134495,"Benetti, Carlo"
134248,"Benedict, William 'Billy'"
134410,"Benes, Scott"
133769,"Bender, Russ"
135725,"Benner, Yale"
135692,"Bennent, Heinz"
134059,"Benedek, Miklós"
134014,"Bene, Carmelo"
134553,"Benfer, Friedrich"
134217,"Benedict, Nick"
135973,"Bennett, Bruce"
133158,"Benassi, Memo"
133430,"Benchley, Robert"
134535,"Benezech, Pascal"
134175,"Benedict, Dirk"
134613,"Benge, Wilson"
135206,"Benjamin, Christopher"
135417,"Benjaminson, Scott"
137846,"Bent, Lyriq"
